node,out_degree,in_degree,certification
微博辟谣,2940,896,新浪微博虚假消息辟谣官方账号
人民日报,1159,0,《人民日报》法人微博
来去之间,867,74,nan
中国新闻网,743,0,中国新闻网法人微博
央视新闻,732,1,中央广播电视总台央视新闻官方账号
sunwear,630,22,信息安全、网络安全、信息战、网络战专家
开水族馆的生物男,523,47,中国渔业协会原生水生物及水域生态专业委员会主任委员 周卓诚
财经网,478,0,财经网官方微博
观察者网,433,2,观察者网(www.guancha.cn)官方微博
暗室四知,423,1,nan
